12/31/2018| The Italian parliament  approved the government's 2019 budget, soothing market angst after Rome reached a compromise with the European Commission last week that averted disciplinary measures. The re-draft lowers next year's budget to 2.04% of GDP by adding new taxes, such as those on web-based businesses, and aims to drum up revenue through the sale of government properties.   a deal on a digital tax during its EU presidency, Austria said it plans to introduce its own levy on tech companies including Facebook (NASDAQ:) and Amazon (NASDAQ:) while the bloc works out its plan. France has also announced plans to tax tech giants at a national level from 2019 if EU states cannot reach an agreement. 
01/01/2019| U.S. markets were closed for New Year's Day.    
01/02/2019| Chinese manufacturing  had an even worse December than expected, darkening the mood for global equities. The Caixin/Markit Manufacturing PMI fell to 49.7 from 50.2 in November, dropping below the critical 50 level that separates growth from contraction. Later in the week, a market rebound took hold after China's commerce ministry announced that vice ministerial-level trade talks with the U.S. would be held on Jan. 7-8.   Chairman Eddie Lampert, outlined his $4.4B bid to buy 425 of the bankrupt stores to keep the 125-year-old retailer alive. He also offered a backup bid to buy at least 250 stores in a partial liquidation, if company advisors do not deem his bid viable. The $4.4B offer is funded in part with $1.8B in credit, a move Sears' () unsecured creditors have protested. 
01/03/2019| Democrats in the House  passed a spending packagedesigned to end the federal government shutdown as Nancy Pelosi reclaimed her role as speaker. To separate the feud over the border wall, Democrats also passed a stopgap spending bill funding the Department of Homeland Security through Feb. 8. President Trump, who has said he won't pass anything without border funding, will continue discussions with congressional leaders.   of 2019, Bristol-Myers Squibb (NYSE:) agreed to acquire Celgene (NASDAQ:) for about $74B, combining two of the world's largest cancer drug businesses. Both Bristol and Celgene entered the new year facing challenges of cash flow and growth, and some Wall Street analysts questioned whether the combination - which would create $2.5B in cost savings and significantly raise earnings - would solve them. 
01/04/2019| Investors focused  on the latest comments from Jerome Powell, who joined Janet Yellen and Ben Bernanke for a Fed Chair reunion at the American Economic Association and Allied Science Association Meeting in Atlanta. Powell may have officially thrown in the towel on this rate hike cycle by saying the central bank is "prepared to adjust policy quickly and flexibly." The Fed chair also said balance sheet "normalization" is up for adjustment.   which cut its quarterly revenue forecast for the first time since 2007. Qualcomm (NASDAQ:) has taken steps to enforce a court order banning the sale of some iPhone models in Germany, a move that will likely see the models pulled from local store shelves. Apple shares have  since Oct. 3 and the tech giant now registers in fourth place in the market cap standings, behind Microsoft (NASDAQ:), Amazon () and Alphabet (, ). 
12/10/2018| The "Yellow Vest" protests  in France over the last month will cost the country's economy 0.1 percentage points in Q4, according to French Finance Minister Bruno Le Maire. Emmanuel Macron also addressed the nation for the first time since the "Gilet Jaunes" demonstrations began, promising to raise the minimum wage and speed up tax relief. The concessions will likely cost the country between €8B-€10B.   an appeal to overturn a sales ban on some of its older iPhone models in China. The ruling by the Fuzhou Intermediate People's Court follows a request for an injunction by Qualcomm (NASDAQ:), which has been locked in a legal battle with Apple (NASDAQ:) for years. Two patents were said to be infringed: one related to photo editing and another to swiping on a touch screen device. 
12/11/2018| President Trump  would "certainly intervene" in the DOJ's case against Huawei CFO Meng Wanzhou if it would serve national security interests or help close a trade deal with China. "Whatever's good for this country, I would do," he told Reuters. A Canadian court on Tuesday granted Meng bail while she awaits a hearing for extradition to the U.S. She's due back in court in February.   grilled Google (, ) CEO Sundar Pichai on a wide range of issues. Regarding concerns about suppressing conservative voices, Pichai echoed Google's previous denials, and repeatedly responded that search algorithms did not favor any particular ideology. He also said Google has no current plans to launch a censored search engine in China, but doesn't rule out a future project. 
12/12/2018| Italian Prime Minister Giuseppe Conte  targeted a smaller budget deficit for next year, totaling 2.04% of GDP, down from 2.4%, the level his government had previously earmarked to finance expansionary and costly measures. Italy's new plan is unlikely to satisfy the European Commission, but it will allow for more talks to proceed and postpone any decision about disciplinary proceedings.   a $4.6B accounting charge related to its Oath media business, after creating the unit by spending $9B on acquiring AOL in 2015 and then Yahoo (NASDAQ:) in 2017. Verizon (NYSE:) hoped the combination would make it a more powerful force in digital advertising, but its share of that market has shrunk instead. Unable to turn the tide, the company recently scaled back its internet ambitions. 
12/13/2018| The ECB formally ended  its three-year, €2.6T monetary stimulus scheme, while cutting its economic growth forecasts. "It's a climate of great uncertainty,” ECB President Mario Draghi said at a press conference. The ECB also confirmed it would keep its key interest rates - which include a minus 0.4% rate on bank deposits held at the central bank - unchanged at least through the summer of 2019.   Longtime  bear, JPMorgan analyst Stephen Tusa, finally raised his rating on the embattled conglomerate to Hold from Sell, sending the stock . Earlier in the week, General Electric fell as low as $6.66 per share, a level which marked the lowest close for the stock during the financial crisis. 
12/14/2018| A day after surviving  a no-confidence vote... Theresa May headed back to London empty-handed after racing to Brussels to get "legal and political" reassurances regarding the controversial Irish backstop. Brexiteers and other U.K. lawmakers are concerned - that if activated - the backstop would keep the U.K. trapped in the EU's customs union indefinitely, with a limited ability to negotiate new trade deals.   additional tariffs on U.S.-made vehicles and auto parts for three months starting Jan. 1, 2019, following a trade truce between the world’s two largest economies. Following the news, Tesla (NASDAQ:) slashed prices on certain Model S cars by up to 105K yuan ($15,200) and Model Xs by up to 65K yuan. Next steps? There's word China will soon restart corn purchases. 
